Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auroc,CLMBR,GBM,"0.593 [0.569, 0.626]","0.543 [0.524, 0.562]","0.051 [0.033, 0.076]",0.0,2
ece,CLMBR,GBM,"0.018 [0.008, 0.033]","0.188 [0.138, 0.232]","-0.169 [-0.209, -0.128]",0.0,2
auprc,CLMBR,GBM,"0.174 [0.07, 0.283]","0.187 [0.076, 0.32]","-0.013 [-0.065, 0.015]",0.704,256
auprc_c,CLMBR,GBM,"0.747 [0.7, 0.809]","0.729 [0.672, 0.806]","0.019 [-0.002, 0.035]",0.072,256
auroc,CLMBR,GBM,"0.766 [0.712, 0.828]","0.746 [0.684, 0.815]","0.02 [0.006, 0.034]",0.002,256
ece,CLMBR,GBM,"0.01 [0.006, 0.019]","0.015 [0.007, 0.03]","-0.005 [-0.011, -0.001]",0.0,256
auprc,CLMBR,CLMBR_MIMIC,"0.146 [0.057, 0.248]","0.174 [0.071, 0.286]","-0.027 [-0.044, -0.011]",0.0,64
auprc_c,CLMBR,CLMBR_MIMIC,"0.723 [0.681, 0.781]","0.761 [0.717, 0.818]","-0.038 [-0.049, -0.024]",0.0,64
auroc,CLMBR,CLMBR_MIMIC,"0.745 [0.703, 0.798]","0.784 [0.724, 0.841]","-0.038 [-0.054, -0.015]",0.002,64
ece,CLMBR,CLMBR_MIMIC,"0.012 [0.006, 0.023]","0.012 [0.005, 0.022]","0.0 [-0.001, 0.001]",0.4604,64
auprc,CLMBR,GBM,"0.161 [0.063, 0.267]","0.138 [0.052, 0.239]","0.022 [-0.002, 0.045]",0.0704,128
auprc_c,CLMBR,GBM,"0.739 [0.695, 0.798]","0.687 [0.636, 0.759]","0.052 [0.031, 0.069]",0.0,128
auroc,CLMBR,GBM,"0.758 [0.709, 0.816]","0.71 [0.658, 0.777]","0.048 [0.035, 0.06]",0.0,128
ece,CLMBR,GBM,"0.011 [0.006, 0.021]","0.015 [0.007, 0.028]","-0.003 [-0.007, -0.001]",0.0,128
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.228 [0.094, 0.369]","0.232 [0.096, 0.368]","-0.002 [-0.014, 0.016]",0.8396,1024
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.789 [0.737, 0.853]","0.793 [0.74, 0.853]","-0.003 [-0.013, 0.007]",0.5172,1024
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.807 [0.749, 0.869]","0.805 [0.739, 0.867]","0.003 [-0.008, 0.016]",0.608,1024
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.014 [0.009, 0.018]","0.014 [0.009, 0.018]","-0.0 [-0.001, 0.001]",0.5064,1024
auprc,CLMBR_DAPT,GBM,"0.202 [0.084, 0.324]","0.138 [0.052, 0.239]","0.062 [0.031, 0.097]",0.0,128
auprc_c,CLMBR_DAPT,GBM,"0.777 [0.728, 0.84]","0.687 [0.636, 0.759]","0.089 [0.072, 0.108]",0.0,128
auroc,CLMBR_DAPT,GBM,"0.798 [0.74, 0.858]","0.71 [0.658, 0.775]","0.087 [0.071, 0.104]",0.0,128
